gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3056289	81.00165876	-1.215796889	0.230414113	-5.276573004	1.32E-07	5.80E-07
C3056417	72.60462341	-0.820927129	0.239430061	-3.428671931	0.000606542	0.001666806
C3056481	604.062759	0.33361348	0.139589694	2.389957822	0.016850308	0.034487097
C3056571	4.552673247	-3.441998377	1.084657393	-3.173350773	0.001506903	0.00388575
C3056583	74.43462874	-0.848196568	0.25111971	-3.377658278	0.000731059	0.001987432
C3056601	66.95719056	-0.862479143	0.225320455	-3.827788933	0.0001293	0.000393887
C3056607	418.8919086	1.117326287	0.173346784	6.445613013	1.15E-10	6.84E-10
C3056757	6.036004284	1.82751631	0.79981463	2.284924834	0.022317236	0.04437952
C3056763	46.55122313	-3.0519816	0.371289387	-8.219953778	2.04E-16	1.93E-15
C3056769	462.048016	-0.462887135	0.150913296	-3.067238926	0.002160461	0.005398177
C3056803	69.4842403	-3.19175967	0.320697368	-9.952559614	2.46E-23	3.59E-22
C3056829	196.7399542	1.176746902	0.179385516	6.559876893	5.39E-11	3.30E-10
C3056845	114.4592024	-1.752957328	0.191767024	-9.141078025	6.18E-20	7.33E-19
C3056917	62.14924102	2.31031016	0.288527665	8.007239646	1.17E-15	1.06E-14
C3056963	1.945159725	-4.371892973	1.457081922	-3.00044418	0.002695862	0.006618861
C3056981	12.31109664	1.574408705	0.470194272	3.348421706	0.000812732	0.00219012
C3057065	4.650247243	5.705915907	1.197846879	4.763476876	1.90E-06	7.39E-06
C3057091	5.628992879	-1.949726674	0.778478496	-2.504535042	0.012261246	0.026034752
C3057125	6.152421775	-6.016677643	1.182783516	-5.086879857	3.64E-07	1.53E-06
C3057165	5.544170834	-2.603034654	0.896234836	-2.904411376	0.003679444	0.008800534
C3057197	139.6237715	-0.66364162	0.17341703	-3.82685379	0.000129792	0.000395316
C3057271	150.6328704	1.317739147	0.219295681	6.008960784	1.87E-09	9.92E-09
C3057341	106.1060697	0.785553793	0.212472867	3.697195811	0.000217994	0.000641731
C3057387	66.53456865	-0.625578883	0.279976693	-2.234396288	0.02545701	0.049841019
C3057417	549.9163376	0.980321015	0.140437578	6.980475073	2.94E-12	2.03E-11
C3057423	125.0480534	1.014893435	0.224163932	4.527460887	5.97E-06	2.18E-05
C3057473	38.79171203	0.883894272	0.290555669	3.04208235	0.002349476	0.005827363
C3057509	165.926343	-0.440041954	0.19062538	-2.308412211	0.02097622	0.042042709
C3057515	10.91318898	1.234058633	0.509565624	2.421785489	0.015444464	0.031916831
C3057519	8.07120469	-1.638084874	0.642236528	-2.550594371	0.010753941	0.0231393
C3057655	4.793274511	-2.175567574	0.894440582	-2.432322076	0.01500236	0.031100165
C3057671	316.1333799	2.425695216	0.18000775	13.47550432	2.18E-41	7.93E-40
C3057699	45.49968114	-2.037097858	0.290591401	-7.01017942	2.38E-12	1.65E-11
C3057713	4.748168666	-4.898293978	1.221811641	-4.00904183	6.10E-05	0.000194451
C3057729	179.2472583	1.259851161	0.197543296	6.377595129	1.80E-10	1.05E-09
C3057763	1.403597854	3.981792661	1.76720397	2.25315964	0.024249085	0.047774607
C3057875	105.5174129	-0.636046703	0.205343626	-3.097474777	0.00195177	0.004923855
C3057949	1098.594056	3.202452199	0.207342274	15.44524486	8.12E-54	5.03E-52
C3057959	3.114417189	-3.479962876	1.30478365	-2.667080382	0.007651337	0.017059838
C3058005	17.2026635	-1.933240331	0.506446633	-3.817263665	0.00013494	0.000409261
C3058073	219.4881208	-1.976542075	0.184254604	-10.72723307	7.58E-27	1.33E-25
C3058131	84.89499461	-0.51379356	0.201337197	-2.551905793	0.010713548	0.023072554
C3058191	40.80779427	-0.838614643	0.296001107	-2.833146987	0.004609219	0.010815722
C3058213	351.085758	-0.660503774	0.133257206	-4.95660832	7.17E-07	2.92E-06
C3058221	5.938164814	2.374812629	0.848927838	2.79742579	0.00515116	0.011947502
C3058223	145.1893578	1.629458026	0.281129146	5.796119138	6.79E-09	3.42E-08
C3058291	80.73704978	-1.302523287	0.205220971	-6.346930711	2.20E-10	1.27E-09
C3058319	28.12630507	-2.711861216	0.392613443	-6.907204183	4.94E-12	3.35E-11
C3058341	49.01344978	-1.138005173	0.287372647	-3.960033021	7.49E-05	0.000236093
C3058351	300.627971	-0.44815488	0.180784353	-2.478947285	0.013177078	0.027760463
C3058375	353.9180574	1.734520748	0.23841383	7.275252219	3.46E-13	2.58E-12
C3058407	38.15599483	-1.586201997	0.318003827	-4.987996565	6.10E-07	2.51E-06
C3058413	70.90260642	-0.904574171	0.206521664	-4.380044944	1.19E-05	4.18E-05
C3058445	18.68823523	-3.136366005	0.526794139	-5.953684319	2.62E-09	1.38E-08
C3058463	946.32903	0.642759172	0.12493049	5.144934359	2.68E-07	1.14E-06
C3058541	10.47196664	3.07279674	0.68657886	4.475519011	7.62E-06	2.75E-05
C3058565	7.716040703	1.655700583	0.650248918	2.546256576	0.010888512	0.023396725
C3058681	311.8594758	-0.726840787	0.16509574	-4.402541126	1.07E-05	3.80E-05
C3058741	7.389080411	-3.749123124	0.913873587	-4.102452656	4.09E-05	0.000133474
